[2020-09-30 08:44:28,642] INFO - Some torch.cuda functionality unavailable
[2020-09-30 08:44:47,356] INFO - Epoch [1/30], Step [100/500] Loss: 1.9954
[2020-09-30 08:45:10,846] INFO - Epoch [1/30], Step [200/500] Loss: 1.7238
[2020-09-30 08:45:37,310] INFO - Epoch [1/30], Step [300/500] Loss: 1.7076
[2020-09-30 08:46:01,595] INFO - Epoch [1/30], Step [400/500] Loss: 1.6370
[2020-09-30 08:46:23,604] INFO - Epoch [1/30], Step [500/500] Loss: 1.4749
[2020-09-30 08:46:45,621] INFO - Epoch [2/30], Step [100/500] Loss: 1.6188
[2020-09-30 08:47:10,058] INFO - Epoch [2/30], Step [200/500] Loss: 1.4943
[2020-09-30 08:47:32,187] INFO - Epoch [2/30], Step [300/500] Loss: 1.5263
[2020-09-30 08:47:56,181] INFO - Epoch [2/30], Step [400/500] Loss: 1.6222
[2020-09-30 08:48:22,168] INFO - Epoch [2/30], Step [500/500] Loss: 1.5801
[2020-09-30 08:48:46,778] INFO - Epoch [3/30], Step [100/500] Loss: 1.4926
[2020-09-30 08:49:09,219] INFO - Epoch [3/30], Step [200/500] Loss: 1.5566
[2020-09-30 08:49:33,160] INFO - Epoch [3/30], Step [300/500] Loss: 1.5771
[2020-09-30 08:49:56,005] INFO - Epoch [3/30], Step [400/500] Loss: 1.4856
[2020-09-30 08:50:21,392] INFO - Epoch [3/30], Step [500/500] Loss: 1.4728
[2020-09-30 08:50:44,446] INFO - Epoch [4/30], Step [100/500] Loss: 1.4085
[2020-09-30 08:51:09,723] INFO - Epoch [4/30], Step [200/500] Loss: 1.4550
[2020-09-30 08:51:33,640] INFO - Epoch [4/30], Step [300/500] Loss: 1.3433
[2020-09-30 08:51:56,254] INFO - Epoch [4/30], Step [400/500] Loss: 1.3207
[2020-09-30 08:52:18,965] INFO - Epoch [4/30], Step [500/500] Loss: 1.3136
[2020-09-30 08:52:41,633] INFO - Epoch [5/30], Step [100/500] Loss: 1.1776
[2020-09-30 08:53:04,205] INFO - Epoch [5/30], Step [200/500] Loss: 1.2596
[2020-09-30 08:53:27,480] INFO - Epoch [5/30], Step [300/500] Loss: 1.1499
[2020-09-30 08:53:51,719] INFO - Epoch [5/30], Step [400/500] Loss: 1.4350
[2020-09-30 08:54:14,631] INFO - Epoch [5/30], Step [500/500] Loss: 1.3069
[2020-09-30 08:54:38,246] INFO - Epoch [6/30], Step [100/500] Loss: 1.2025
[2020-09-30 08:55:01,547] INFO - Epoch [6/30], Step [200/500] Loss: 1.2814
[2020-09-30 08:55:25,100] INFO - Epoch [6/30], Step [300/500] Loss: 1.0910
[2020-09-30 08:55:48,606] INFO - Epoch [6/30], Step [400/500] Loss: 1.2999
[2020-09-30 08:56:12,644] INFO - Epoch [6/30], Step [500/500] Loss: 1.0739
[2020-09-30 08:56:37,462] INFO - Epoch [7/30], Step [100/500] Loss: 1.5135
